# 四川电信 IP速度测试结果 - 有效IP 8/18
# 测试时间: 2026-03-30 13:17:41
# IP:端口 速度 连接时间(ms)
171.213.140.251:4022 77.3KB/s (ping:266ms)
118.113.145.163:7788 77.1KB/s (ping:258ms)
171.213.212.109:8888 73.2KB/s (ping:279ms)
118.120.233.73:9000 72.1KB/s (ping:284ms)
182.143.115.140:40000 71.4KB/s (ping:1315ms)
171.213.223.230:8800 67.5KB/s (ping:9999ms)
182.143.114.136:40000 55.4KB/s (ping:303ms)
171.213.243.91:8888 41.4KB/s (ping:280ms)

# 失败统计 (10个):
# 175.152.130.65:8888 - 链接错误
# 171.91.135.185:8888 - 不可用
# 171.95.24.197:8888 - 不可用
# 125.66.95.15:8888 - 不可用
# 222.214.176.251:8888 - 不可用
# 171.213.203.193:4000 - 链接超时
# 119.6.123.247:9000 - 不可用
# 211.158.155.67:8009 - 不可用
# 171.213.232.140:4000 - 链接超时
# 211.158.167.71:8888 - 链接错误
