# 江苏电信 IP速度测试结果 - 有效IP 9/20
# 测试时间: 2026-03-30 13:23:09
# IP:端口 速度 连接时间(ms)
117.63.157.175:8888 86.9KB/s (ping:237ms)
117.88.255.245:8888 84.3KB/s (ping:243ms)
222.184.137.30:8888 83.0KB/s (ping:253ms)
49.71.31.216:8888 77.5KB/s (ping:252ms)
121.230.35.128:8000 77.5KB/s (ping:262ms)
117.86.82.202:8000 76.1KB/s (ping:230ms)
49.77.20.134:8118 75.5KB/s (ping:271ms)
114.231.22.227:55555 53.8KB/s (ping:258ms)
116.147.107.243:4022 15.0KB/s (ping:232ms)

# 失败统计 (11个):
# 119.45.218.183:8800 - 不可用
# 117.91.149.135:9000 - 不可用
# 58.214.189.147:6668 - 链接超时
# 58.214.189.147:6346 - 链接超时
# 58.214.189.147:21 - 链接超时
# 58.214.189.147:8089 - 链接超时
# 58.214.189.147:84 - 链接超时
# 58.214.189.147:789 - 链接超时
# 58.214.189.147:3838 - 链接超时
# 58.214.189.147:3841 - 链接超时
# 117.86.48.47:7777 - 链接错误
